x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
651119.34,941626.03,ROI,S,Metasediment,0.13718539524991138,0.28173349858073804,0.11142206052852517,0.04585615479950426,0.059968816215567905
631340.39,919102.02,ROI,S,Metasediment,0.40276658825045913,0.6578579138847799,0.24283372646223964,0.48990524927037943,0.48666693319473875
638834.96,937217.08,ROI,S,Metasediment,0.5380909413167478,0.5726222364370527,0.5876544197017551,0.6621356894414904,0.19857674009515053
637014.44,945164.4,ROI,S,Metasediment,0.9236811575521254,0.9505057370167513,0.5601487226642146,0.041418462399552235,0.8990125134929836
665033.28,941315.98,ROI,S,Metasediment,0.6540233959588798,0.4916643345460361,0.49914044696757687,0.8723463798824611,0.8500779594610802
654923.52,942996.7,ROI,S,Metasediment,0.7436031710225258,0.5441170591292528,0.4020309439091672,0.8562347579258786,0.6339503458201735
637491.21,933246.94,ROI,S,Metasediment,0.17053108182140442,0.261144205013393,0.01087434534042298,0.1582776955982889,0.06608563546955583
636872.42,940672.36,ROI,S,Metasediment,0.6205971447906932,0.8435613480989885,0.18862191660336625,0.608123775636669,0.4469275976492224
652971.87,935270.37,ROI,S,Metasediment,0.6116705874770392,0.4962619437892296,0.7958261703913965,0.6714508455603087,0.6157598049014512
646365.36,940663.28,ROI,S,Metasediment,0.8613322161709259,0.8399232399152441,0.7801543197537281,0.055491144604805503,0.9426298324871067
637105.09,912775.32,ROI,S,Metasediment,0.5900067674261222,0.41166593371446847,0.4522848118978131,0.9702954463678887,0.769160036780874
647380.1,936598.14,ROI,S,Metasediment,0.21567948180851407,0.11997761164194619,0.6509814896253948,0.961460040778795,0.16319513852796547
660255.31,938708.58,ROI,S,Metasediment,0.7197479939415423,0.8152960460560509,0.05665054171830648,0.8296485827369767,0.8767440930716027
653124.83,933713.7,ROI,S,Metasediment,0.7955270535915697,0.7829128852996442,0.33302682605045375,0.6272738176148402,0.9221604765521929
643000.94,925352.58,ROI,S,Metasediment,0.7538993264799717,0.5517930676048455,0.8302482708991324,0.3215927717586855,0.9470275456762484
630561.52,915022.9,ROI,S,Metasediment,0.8947181850407656,0.9556230760004798,0.13149162435533523,0.44732738975732617,0.8116979170831168
624614.09,942331.13,ROI,S,Metasediment,0.8529696110341273,0.44648782633030826,0.7268620317434934,0.5843361452044936,0.8789829288769839
651078.32,938857.62,ROI,S,Metasediment,0.18096419709322933,0.04813496981569584,0.7176268340462959,0.2698996521808659,0.08859393115579899
624444.11,941066.4,ROI,S,Metasediment,0.5377928523089814,0.3445808179746532,0.7478910966297525,0.7891496421860632,0.6895614280574102
630981.7,940982.35,ROI,S,Metasediment,0.6295962102413716,0.16831247751169393,0.8098988525966497,0.8540359013313077,0.6959181225762603
647384.06,932761.96,ROI,S,Metasediment,0.23085785182559376,0.02458721464838284,0.5950105944908648,0.7440930716027666,0.14020709231199777
651181.24,933045.86,ROI,S,Metasediment,0.5114562856498341,0.26586175188901773,0.3988725862551473,0.954903450205893,0.6746092032143286
642852.13,941308.17,ROI,S,Metasediment,0.16261963842609004,0.15068164554431696,0.7355375204893455,0.016631351697117498,0.05832966857234238
646984.25,942611.85,ROI,S,Metasediment,0.4841851696690407,0.2744173030024387,0.407707991844241,0.9557430136329109,0.701795066565386
631316.21,900776.94,ROI,S,Metasediment,0.8251587122554863,0.8611522008555551,0.6845240474953025,0.30648063007236237,0.9483868388438013
